k	x	|x_k - x_k-1|	f(x_k)
0	2.472366552741015	-	-0.013816723629492378
1	2.4789384070514933	0.006571854310478464	0.003285927155238677
2	2.4773672331293093	0.0015711739221839771	-0.0007855869610919886
3	2.4777423939447365	0.00037516081542721125	0.0001875804077134946
4	2.4776527872361926	8.960670854385455e-05	-4.480335427170523e-05
5	2.477674188162651	2.140092645852576e-05	1.0700463229373902e-05
6	2.477669076854912	5.1113077392805906e-06	-2.555653869529273e-06
7	2.4776702976132965	1.2207583846013392e-06	6.103791924116919e-07
8	2.4776702976132965	0.0	6.103791924116919e-07
9	2.477670006053375	2.915599215391751e-07	-1.4577996076958755e-07
