k	x	|x_k - x_k-1|	f(x_k)
0	2.55	-	0.17716299924437917
1	2.325	0.22499999999999964	-0.461430096652399
2	2.4375	0.11249999999999982	-0.10792857318446791
3	2.49375	0.05624999999999991	0.0411490372331943
4	2.465625	0.028124999999999734	-0.031562189848312605
5	2.4796875	0.014062499999999645	0.005223321233479128
6	2.47265625	0.007031249999999822	-0.013058773882821395
7	2.476171875	0.003515624999999911	-0.003890470492336817
8	2.4779296874999996	0.0017578124999997335	0.0006731891591172934
9	2.47705078125	0.0008789062499996447	-0.001606943491615609
10	2.477490234375	0.00043945312499982236	-0.0004664536536693742
11	2.4777099609374997	0.00021972656249991118	0.0001034735334586312
12	2.47760009765625	0.00010986328124973355	-0.00018146360275539397
13	2.4776550292968746	5.493164062464473e-05	-3.8988421832919506e-05
14	2.477682495117187	2.7465820312322364e-05	3.2244208826193166e-05
15	2.477668762207031	1.3732910156161182e-05	-3.3716932261729227e-06
16	2.4776756286621087	6.8664550778585465e-06	1.443636111575497e-05
17	2.47767219543457	3.4332275387072286e-06	5.5323597748513365e-06
18	2.4776704788208006	1.7166137693536143e-06	1.0803397323400077e-06
